x,y,z
8.859520,-36.052759,30.003743
9.245600,-35.956239,30.003743
9.606280,-35.737799,30.003743
10.093960,-35.697159,30.003743
10.652760,-35.443159,30.003743
11.094720,-35.488879,30.003743
11.460480,-35.224719,30.003743
11.983720,-35.062159,30.003743
12.476480,-34.792919,30.003743
12.969240,-34.701479,30.003743
13.421360,-34.396679,30.003743
13.903960,-34.335719,30.003743
14.330680,-34.041079,30.003743
14.792960,-33.944559,30.003743
15.199360,-33.705799,30.003743
15.626079,-33.573719,30.003743
16.022319,-33.456879,30.003743
16.443959,-33.314639,30.003743
16.997679,-33.207959,30.003743
17.414239,-33.116519,30.003743
17.876519,-33.035239,30.003743
18.303239,-32.867599,30.003743
18.709639,-32.882839,30.003743
19.192239,-32.806639,30.003743
19.710399,-32.557719,30.003743
20.147279,-32.608519,30.003743
20.573999,-32.517079,30.003743
21.097239,-32.410399,30.003743
21.569679,-32.476439,30.003743
22.052279,-32.313879,30.003743
22.448519,-32.303719,30.003743
22.895559,-32.379919,30.003743
23.342599,-32.354519,30.003743
23.748999,-32.273239,30.003743
24.292559,-32.308799,30.003743
24.709119,-32.273239,30.003743
25.222199,-32.329119,30.003743
25.623519,-32.288479,30.003743
26.034999,-32.181799,30.003743
26.507439,-32.186879,30.003743
26.990039,-32.156399,30.003743
27.558999,-32.125919,30.003743
27.970479,-32.064959,30.003743
28.458159,-32.024319,30.003743
29.001719,-32.186879,30.003743
29.413199,-32.039559,30.003743
29.921199,-32.014159,30.003743
30.419039,-31.897319,30.003743
30.977839,-31.993839,30.003743
31.394399,-31.953199,30.003743
31.932879,-31.851599,30.003743
32.517079,-31.876999,30.003743
32.918399,-31.638239,30.003743
